Time,Code,Value
2020-02-24T11:54:34.238672,57,0
2020-02-24T11:54:34.238672,53,312
2020-02-24T11:54:34.238672,54,176
2020-02-24T11:54:34.263621,54,174
2020-02-24T11:54:34.271750,54,172
2020-02-24T11:54:34.280797,54,170
2020-02-24T11:54:34.289865,54,168
2020-02-24T11:54:34.298932,54,167
2020-02-24T11:54:34.307912,54,165
2020-02-24T11:54:34.317016,54,164
2020-02-24T11:54:34.326048,53,313
2020-02-24T11:54:34.326048,54,163
2020-02-24T11:54:34.335154,54,162
2020-02-24T11:54:34.343813,54,161
2020-02-24T11:54:34.361919,57,-1
2020-02-24T12:24:07.593671,57,1
2020-02-24T12:24:07.593671,53,109
2020-02-24T12:24:07.593671,54,8
2020-02-24T12:24:07.630090,53,108
2020-02-24T12:24:07.647199,53,109
2020-02-24T12:24:07.656258,53,111
2020-02-24T12:24:07.665253,53,112
2020-02-24T12:24:07.674141,53,113
2020-02-24T12:24:07.683240,53,114
2020-02-24T12:24:07.692362,57,-1
2020-02-24T12:24:07.766955,57,2
2020-02-24T12:24:07.766955,53,24
2020-02-24T12:24:07.766955,54,24
2020-02-24T12:24:07.801904,57,-1
2020-02-24T12:24:07.876547,57,3
2020-02-24T12:24:07.876547,53,99
2020-02-24T12:24:07.876547,54,13
2020-02-24T12:24:07.911417,57,-1
2020-02-24T12:24:07.937809,57,4
2020-02-24T12:24:07.937809,53,100
2020-02-24T12:24:07.937809,54,11
2020-02-24T12:24:07.963941,53,101
2020-02-24T12:24:07.963941,54,10
2020-02-24T12:24:07.972975,54,9
2020-02-24T12:24:07.991021,54,8
2020-02-24T12:24:08.000139,53,102
2020-02-24T12:24:08.244838,53,103
2020-02-24T12:24:08.435302,53,104
2020-02-24T12:24:08.462565,53,105
2020-02-24T12:24:08.516882,53,104
2020-02-24T12:24:08.980202,53,105
2020-02-24T12:24:09.015568,53,106
2020-02-24T12:24:09.024128,57,-1
2020-04-27T18:06:21.683983,57,0
2020-04-27T18:06:21.683983,53,20
2020-04-27T18:06:21.683983,54,211
2020-04-27T18:06:21.709155,57,-1
2020-04-27T18:06:21.735397,57,1
2020-04-27T18:06:21.735397,54,213
2020-04-27T18:06:21.770807,57,-1
2020-04-27T18:06:21.797099,57,2
2020-04-27T18:06:21.797099,53,19
2020-04-27T18:06:21.832351,57,-1
2020-04-27T18:06:21.858684,57,3
2020-04-27T18:06:21.858684,53,20
2020-04-27T18:06:21.858684,54,214
2020-04-27T18:06:21.893943,57,-1
