FullTime,DateHour,hour,Code,Value,X,Y
2019-12-23T16:40:05.799396,,,c57,47909,0,0
2019-12-23T16:40:05.799396,,,c53,157,157,39
2019-12-23T16:40:05.799396,,,c54,39,157,39
2019-12-23T16:40:05.799396,,,c58,41,0,0
2019-12-23T16:40:05.817350,,,c58,42,0,0
2019-12-23T16:40:05.836417,,,c58,43,0,0
2019-12-23T16:40:05.855402,,,c58,44,0,0
2019-12-23T16:40:05.875520,,,c54,38,157,38
2019-12-23T16:40:05.875520,,,c54,37,157,37
2019-12-23T16:40:05.875520,,,c58,45,0,0
2019-12-23T16:40:05.951327,,,c53,158,37,158
2019-12-23T16:40:05.951327,,,c58,46,0,0
2019-12-23T16:40:06.122960,,,c54,37,158,37
2019-12-23T16:40:06.199016,,,c54,36,158,36
2019-12-23T16:40:06.237379,,,c54,35,158,35
2019-12-23T16:40:06.256422,,,c58,47,0,0
2019-12-23T16:40:06.275342,,,c53,157,157,34
2019-12-23T16:40:06.275342,,,c54,34,157,34
2019-12-23T16:40:06.294524,,,c53,155,155,33
2019-12-23T16:40:06.294524,,,c54,33,155,33
2019-12-23T16:40:06.312981,,,c53,154,154,32
2019-12-23T16:40:06.312981,,,c54,32,154,32
2019-12-23T16:40:06.331858,,,c53,152,32,152
2019-12-23T16:40:06.351518,,,c53,150,150,31
2019-12-23T16:40:06.351518,,,c54,31,150,31
2019-12-23T16:40:06.369974,,,c53,148,148,30
2019-12-23T16:40:06.369974,,,c54,30,148,30
2019-12-23T16:40:06.389083,,,c53,146,146,29
2019-12-23T16:40:06.389083,,,c54,29,146,29
2019-12-23T16:40:06.408717,,,c53,144,29,144
2019-12-23T16:40:06.427844,,,c53,142,29,142
2019-12-23T16:40:06.446802,,,c53,140,29,140
2019-12-23T16:40:06.465779,,,c53,138,29,138
2019-12-23T16:40:06.484822,,,c53,136,29,136
2019-12-23T16:40:06.504049,,,c53,134,134,28
2019-12-23T16:40:06.504049,,,c54,28,134,28
2019-12-23T16:40:06.522889,,,c53,132,28,132
2019-12-23T16:40:06.541341,,,c53,129,28,129
2019-12-23T16:40:06.560907,,,c53,127,28,127
2019-12-23T16:40:06.579644,,,c53,125,28,125
2019-12-23T16:40:06.598884,,,c53,122,28,122
2019-12-23T16:40:06.618221,,,c53,120,120,29
2019-12-23T16:40:06.618221,,,c54,29,120,29
2019-12-23T16:40:06.637208,,,c53,118,118,30
2019-12-23T16:40:06.637208,,,c54,30,118,30
2019-12-23T16:40:06.656315,,,c53,115,30,115
2019-12-23T16:40:06.675350,,,c53,113,113,31
2019-12-23T16:40:06.675350,,,c54,31,113,31
2019-12-23T16:40:06.694461,,,c53,111,111,32
2019-12-23T16:40:06.694461,,,c54,32,111,32
2019-12-23T16:40:06.713234,,,c53,109,109,33
2019-12-23T16:40:06.713234,,,c54,33,109,33
2019-12-23T16:40:06.732461,,,c53,107,107,34
2019-12-23T16:40:06.732461,,,c54,34,107,34
2019-12-23T16:40:06.751326,,,c53,106,34,106
2019-12-23T16:40:06.770418,,,c53,104,104,35
2019-12-23T16:40:06.770418,,,c54,35,104,35
2019-12-23T16:40:06.789394,,,c53,102,102,36
2019-12-23T16:40:06.789394,,,c54,36,102,36
2019-12-23T16:40:06.808608,,,c53,100,100,37
2019-12-23T16:40:06.808608,,,c54,37,100,37
2019-12-23T16:40:06.827798,,,c53,98,98,38
2019-12-23T16:40:06.827798,,,c54,38,98,38
2019-12-23T16:40:06.846843,,,c53,97,97,39
2019-12-23T16:40:06.846843,,,c54,39,97,39
2019-12-23T16:40:06.865796,,,c53,95,95,41
2019-12-23T16:40:06.865796,,,c54,41,95,41
2019-12-23T16:40:06.884779,,,c53,93,93,43
2019-12-23T16:40:06.884779,,,c54,43,93,43
2019-12-23T16:40:06.903205,,,c53,92,92,44
2019-12-23T16:40:06.903205,,,c54,44,92,44
2019-12-23T16:40:06.922470,,,c53,90,90,46
2019-12-23T16:40:06.922470,,,c54,46,90,46
2019-12-23T16:40:06.941348,,,c53,88,88,48
2019-12-23T16:40:06.941348,,,c54,48,88,48
2019-12-23T16:40:06.960772,,,c53,86,86,49
2019-12-23T16:40:06.960772,,,c54,49,86,49
2019-12-23T16:40:06.979740,,,c53,84,84,50
2019-12-23T16:40:06.979740,,,c54,50,84,50
2019-12-23T16:40:06.999027,,,c53,83,83,52
2019-12-23T16:40:06.999027,,,c54,52,83,52
2019-12-23T16:40:07.018082,,,c53,81,81,53
2019-12-23T16:40:07.018082,,,c54,53,81,53
2019-12-23T16:40:07.037250,,,c53,80,80,55
2019-12-23T16:40:07.037250,,,c54,55,80,55
2019-12-23T16:40:07.056296,,,c53,78,78,56
2019-12-23T16:40:07.056296,,,c54,56,78,56
2019-12-23T16:40:07.075335,,,c53,77,77,58
2019-12-23T16:40:07.075335,,,c54,58,77,58
2019-12-23T16:40:07.094412,,,c53,75,75,59
2019-12-23T16:40:07.094412,,,c54,59,75,59
2019-12-23T16:40:07.113024,,,c53,73,73,61
2019-12-23T16:40:07.113024,,,c54,61,73,61
2019-12-23T16:40:07.132130,,,c53,72,72,62
2019-12-23T16:40:07.132130,,,c54,62,72,62
2019-12-23T16:40:07.151388,,,c53,70,70,64
2019-12-23T16:40:07.151388,,,c54,64,70,64
2019-12-23T16:40:07.170402,,,c53,69,69,66
2019-12-23T16:40:07.170402,,,c54,66,69,66
2019-12-23T16:40:07.189469,,,c53,68,68,67
