FullTime,DateHour,hour,Code,Value,X,Y
2019-12-23T16:44:38.867741,,,c57,47926,0,0
2019-12-23T16:44:38.867741,,,c53,70,70,54
2019-12-23T16:44:38.867741,,,c54,54,70,54
2019-12-23T16:44:38.867741,,,c58,37,0,0
2019-12-23T16:44:38.885675,,,c58,38,0,0
2019-12-23T16:44:38.904701,,,c58,39,0,0
2019-12-23T16:44:38.923585,,,c58,41,0,0
2019-12-23T16:44:38.943715,,,c58,42,0,0
2019-12-23T16:44:38.962724,,,c53,71,54,71
2019-12-23T16:44:38.962724,,,c58,43,0,0
2019-12-23T16:44:38.981434,,,c53,73,73,55
2019-12-23T16:44:38.981434,,,c54,55,73,55
2019-12-23T16:44:39.000781,,,c53,76,76,58
2019-12-23T16:44:39.000781,,,c54,58,76,58
2019-12-23T16:44:39.019815,,,c53,80,80,61
2019-12-23T16:44:39.019815,,,c54,61,80,61
2019-12-23T16:44:39.038975,,,c53,86,86,65
2019-12-23T16:44:39.038975,,,c54,65,86,65
2019-12-23T16:44:39.038975,,,c58,44,0,0
2019-12-23T16:44:39.058139,,,c53,94,94,71
2019-12-23T16:44:39.058139,,,c54,71,94,71
2019-12-23T16:44:39.077209,,,c53,102,102,77
2019-12-23T16:44:39.077209,,,c54,77,102,77
2019-12-23T16:44:39.095868,,,c53,111,111,83
2019-12-23T16:44:39.095868,,,c54,83,111,83
2019-12-23T16:44:39.115270,,,c53,121,121,90
2019-12-23T16:44:39.115270,,,c54,90,121,90
2019-12-23T16:44:39.133468,,,c53,131,131,97
2019-12-23T16:44:39.133468,,,c54,97,131,97
2019-12-23T16:44:39.153265,,,c53,142,142,105
2019-12-23T16:44:39.153265,,,c54,105,142,105
2019-12-23T16:44:39.172307,,,c53,152,152,112
2019-12-23T16:44:39.172307,,,c54,112,152,112
2019-12-23T16:44:39.190817,,,c53,162,162,120
2019-12-23T16:44:39.190817,,,c54,120,162,120
2019-12-23T16:44:39.210035,,,c53,171,171,127
2019-12-23T16:44:39.210035,,,c54,127,171,127
2019-12-23T16:44:39.228965,,,c53,179,179,133
2019-12-23T16:44:39.228965,,,c54,133,179,133
2019-12-23T16:44:39.228965,,,c58,45,0,0
2019-12-23T16:44:39.248548,,,c53,186,186,138
2019-12-23T16:44:39.248548,,,c54,138,186,138
2019-12-23T16:44:39.267586,,,c53,192,192,142
2019-12-23T16:44:39.267586,,,c54,142,192,142
2019-12-23T16:44:39.286512,,,c53,196,196,145
