FullTime,DateHour,hour,Code,Value,X,Y
2019-12-23T16:42:41.109998,,,c57,47914,,
2019-12-23T16:42:41.109998,,,c53,61,61,29
2019-12-23T16:42:41.109998,,,c54,29,61,29
2019-12-23T16:42:41.109998,,,c58,23,61,29
2019-12-23T16:42:41.128516,,,c58,27,61,28
2019-12-23T16:42:41.147604,,,c54,28,61,28
2019-12-23T16:42:41.147604,,,c58,32,61,27
2019-12-23T16:42:41.166508,,,c54,27,61,27
2019-12-23T16:42:41.166508,,,c58,36,61,27
2019-12-23T16:42:41.186688,,,c58,38,62,27
2019-12-23T16:42:41.205356,,,c53,62,62,27
2019-12-23T16:42:41.205356,,,c58,40,62,27
2019-12-23T16:42:41.224765,,,c58,42,62,27
2019-12-23T16:42:41.243766,,,c58,43,62,27
2019-12-23T16:42:41.262812,,,c58,44,63,27
2019-12-23T16:42:41.281834,,,c53,63,63,27
2019-12-23T16:42:41.281834,,,c58,45,63,27
2019-12-23T16:42:41.300792,,,c58,46,63,28
2019-12-23T16:42:41.319515,,,c54,28,63,29
2019-12-23T16:42:41.338888,,,c54,29,63,30
2019-12-23T16:42:41.357280,,,c54,30,63,30
2019-12-23T16:42:41.357280,,,c58,47,63,32
2019-12-23T16:42:41.377245,,,c54,32,63,34
2019-12-23T16:42:41.396216,,,c54,34,63,36
2019-12-23T16:42:41.415292,,,c54,36,63,39
2019-12-23T16:42:41.434334,,,c54,39,63,42
2019-12-23T16:42:41.453222,,,c54,42,63,44
2019-12-23T16:42:41.471673,,,c54,44,63,46
2019-12-23T16:42:41.491345,,,c54,46,63,46
2019-12-23T16:42:41.491345,,,c58,48,63,48
2019-12-23T16:42:41.510026,,,c54,48,63,50
2019-12-23T16:42:41.529436,,,c54,50,63,52
2019-12-23T16:42:41.548532,,,c54,52,63,53
2019-12-23T16:42:41.567582,,,c54,53,63,55
2019-12-23T16:42:41.586009,,,c54,55,63,56
2019-12-23T16:42:41.605789,,,c54,56,63,57
2019-12-23T16:42:41.624799,,,c54,57,63,59
2019-12-23T16:42:41.643783,,,c54,59,63,60
2019-12-23T16:42:41.662125,,,c54,60,63,62
2019-12-23T16:42:41.681356,,,c54,62,63,64
2019-12-23T16:42:41.700765,,,c54,64,63,65
2019-12-23T16:42:41.719848,,,c54,65,63,68
2019-12-23T16:42:41.738638,,,c54,68,63,70
2019-12-23T16:42:41.758077,,,c54,70,63,72
2019-12-23T16:42:41.777059,,,c54,72,63,73
2019-12-23T16:42:41.796167,,,c54,73,63,73
2019-12-23T16:42:41.796167,,,c58,49,63,75
2019-12-23T16:42:41.815250,,,c54,75,63,77
2019-12-23T16:42:41.834318,,,c54,77,63,78
2019-12-23T16:42:41.852293,,,c54,78,63,80
2019-12-23T16:42:41.872158,,,c54,80,63,82
2019-12-23T16:42:41.891299,,,c54,82,63,83
2019-12-23T16:42:41.909852,,,c54,83,63,85
2019-12-23T16:42:41.929321,,,c54,85,63,86
2019-12-23T16:42:41.948487,,,c54,86,63,88
2019-12-23T16:42:41.967619,,,c54,88,63,90
2019-12-23T16:42:41.986604,,,c54,90,63,91
2019-12-23T16:42:42.005647,,,c54,91,63,92
2019-12-23T16:42:42.024661,,,c54,92,63,94
2019-12-23T16:42:42.043702,,,c54,94,63,95
2019-12-23T16:42:42.062383,,,c54,95,63,96
2019-12-23T16:42:42.081336,,,c54,96,62,97
2019-12-23T16:42:42.100720,,,c53,62,60,97
2019-12-23T16:42:42.100720,,,c54,97,60,97
2019-12-23T16:42:42.119759,,,c53,60,60,97
2019-12-23T16:42:42.119759,,,c58,36,60,97
2019-12-23T16:42:42.138595,,,c57,-1,118,33
2019-12-23T16:42:42.811430,,,c57,47915,118,33
2019-12-23T16:42:42.811430,,,c53,118,118,33
2019-12-23T16:42:42.811430,,,c54,33,118,33
2019-12-23T16:42:42.811430,,,c58,30,118,32
2019-12-23T16:42:42.829392,,,c58,35,118,32
2019-12-23T16:42:42.848447,,,c58,40,118,32
2019-12-23T16:42:42.867422,,,c54,32,118,32
2019-12-23T16:42:42.867422,,,c58,44,118,32
2019-12-23T16:42:42.887597,,,c58,46,119,32
2019-12-23T16:42:42.906621,,,c58,47,119,32
2019-12-23T16:42:42.925665,,,c58,48,119,34
2019-12-23T16:42:42.944707,,,c53,119,119,36
2019-12-23T16:42:42.944707,,,c58,49,119,38
2019-12-23T16:42:43.001793,,,c54,34,120,41
2019-12-23T16:42:43.020784,,,c54,36,120,43
2019-12-23T16:42:43.039794,,,c54,38,120,45
2019-12-23T16:42:43.058817,,,c53,120,121,47
2019-12-23T16:42:43.058817,,,c54,41,121,48
2019-12-23T16:42:43.078064,,,c54,43,121,50
2019-12-23T16:42:43.097095,,,c54,45,121,52
2019-12-23T16:42:43.115991,,,c53,121,121,54
2019-12-23T16:42:43.115991,,,c54,47,121,55
2019-12-23T16:42:43.135189,,,c54,48,121,57
2019-12-23T16:42:43.153135,,,c54,50,121,59
2019-12-23T16:42:43.172117,,,c54,52,121,61
2019-12-23T16:42:43.191213,,,c54,54,121,62
2019-12-23T16:42:43.211089,,,c54,55,121,64
2019-12-23T16:42:43.230156,,,c54,57,121,66
2019-12-23T16:42:43.249223,,,c54,59,121,68
2019-12-23T16:42:43.268011,,,c54,61,122,69
2019-12-23T16:42:43.287319,,,c54,62,122,71
2019-12-23T16:42:43.306431,,,c54,64,122,72
2019-12-23T16:42:43.325533,,,c54,66,122,74
2019-12-23T16:42:43.344638,,,c54,68,122,75
2019-12-23T16:42:43.363715,,,c53,122,122,77
2019-12-23T16:42:43.363715,,,c54,69,122,77
2019-12-23T16:42:43.382522,,,c54,71,122,79
2019-12-23T16:42:43.401073,,,c54,72,122,80
2019-12-23T16:42:43.420265,,,c54,74,122,81
2019-12-23T16:42:43.439701,,,c54,75,122,82
2019-12-23T16:42:43.458679,,,c54,77,122,84
2019-12-23T16:42:43.458679,,,c58,50,122,85
2019-12-23T16:42:43.477986,,,c54,79,122,85
2019-12-23T16:42:43.497019,,,c54,80,122,85
2019-12-23T16:42:43.515280,,,c54,81,122,85
2019-12-23T16:42:43.535043,,,c54,82,194,114
2019-12-23T16:42:43.554088,,,c54,84,194,114
2019-12-23T16:42:43.591944,,,c54,85,194,114
2019-12-23T16:42:43.591944,,,c58,48,194,114
2019-12-23T16:42:43.610886,,,c57,-1,194,114
2019-12-23T16:42:44.510419,,,c57,47916,194,114
2019-12-23T16:42:44.510419,,,c53,194,194,114
2019-12-23T16:42:44.510419,,,c54,114,194,115
2019-12-23T16:42:44.510419,,,c58,41,194,115
2019-12-23T16:42:44.528498,,,c58,43,194,116
2019-12-23T16:42:44.547673,,,c58,45,194,118
2019-12-23T16:42:44.566610,,,c58,46,194,120
2019-12-23T16:42:44.586763,,,c58,47,194,120
2019-12-23T16:42:44.605734,,,c58,48,194,121
2019-12-23T16:42:44.624810,,,c54,115,194,121
2019-12-23T16:42:44.624810,,,c58,49,194,124
2019-12-23T16:42:44.643828,,,c54,116,193,126
2019-12-23T16:42:44.662244,,,c54,118,192,129
2019-12-23T16:42:44.681829,,,c54,120,190,131
2019-12-23T16:42:44.681829,,,c58,50,189,134
2019-12-23T16:42:44.700723,,,c54,121,187,137
2019-12-23T16:42:44.700723,,,c58,51,185,140
2019-12-23T16:42:44.719859,,,c54,124,182,142
2019-12-23T16:42:44.739053,,,c53,193,179,145
2019-12-23T16:42:44.739053,,,c54,126,177,148
2019-12-23T16:42:44.758100,,,c53,192,174,151
2019-12-23T16:42:44.758100,,,c54,129,170,154
2019-12-23T16:42:44.776549,,,c53,190,167,156
2019-12-23T16:42:44.776549,,,c54,131,164,159
2019-12-23T16:42:44.796248,,,c53,189,160,162
2019-12-23T16:42:44.796248,,,c54,134,158,165
